"id"	"activity"	"mean"
"1"	1	"LAYING"	-0.562911611255539
"2"	1	"SITTING"	-0.584725960255462
"3"	1	"STANDING"	-0.604246709315753
"4"	1	"WALKING"	-0.163082309727183
"5"	1	"WALKING_DOWNSTAIRS"	-0.123381646209478
"6"	1	"WALKING_UPSTAIRS"	-0.307103990105455
"7"	2	"LAYING"	-0.594554938801989
"8"	2	"SITTING"	-0.600393131230662
"9"	2	"STANDING"	-0.607694266118594
"10"	2	"WALKING"	-0.263447535461266
"11"	2	"WALKING_DOWNSTAIRS"	-0.0960628386705871
"12"	2	"WALKING_UPSTAIRS"	-0.245280103879352
"13"	3	"LAYING"	-0.59842632621547
"14"	3	"SITTING"	-0.587788224394425
"15"	3	"STANDING"	-0.614465465564024
"16"	3	"WALKING"	-0.273821880450755
"17"	3	"WALKING_DOWNSTAIRS"	-0.210455379815377
"18"	3	"WALKING_UPSTAIRS"	-0.332762922095754
"19"	4	"LAYING"	-0.600275906171113
"20"	4	"SITTING"	-0.599869209421733
"21"	4	"STANDING"	-0.599570831279334
"22"	4	"WALKING"	-0.333616309878114
"23"	4	"WALKING_DOWNSTAIRS"	-0.237339899003328
"24"	4	"WALKING_UPSTAIRS"	-0.319770178845403
"25"	5	"LAYING"	-0.59602738987166
"26"	5	"SITTING"	-0.595146662811886
"27"	5	"STANDING"	-0.59099275703927
"28"	5	"WALKING"	-0.255474472944623
"29"	5	"WALKING_DOWNSTAIRS"	-0.137460044128552
"30"	5	"WALKING_UPSTAIRS"	-0.230117115133272
"31"	6	"LAYING"	-0.582493067922139
"32"	6	"SITTING"	-0.591247923581489
"33"	6	"STANDING"	-0.608446224524601
"34"	6	"WALKING"	-0.189527910222856
"35"	6	"WALKING_DOWNSTAIRS"	-0.00181489215397099
"36"	6	"WALKING_UPSTAIRS"	-0.18605013871588
"37"	7	"LAYING"	-0.617707648273444
"38"	7	"SITTING"	-0.600501628002714
"39"	7	"STANDING"	-0.618483174871523
